{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 100, 'learning_rate': 0.001}:{'Open': np.float64(4.531696751963694), 'High': np.float64(13.478513052158345), 'Low': np.float64(20.293964909186524), 'Close': np.float64(10.720220378748609), 'Total': np.float64(16.10922157863291)}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 100, 'learning_rate': 0.001, 'model': 'RNN'}:{'Open': np.float64(3.7030070447265806), 'High': np.float64(8.918970317656393), 'Low': np.float64(12.899736935661574), 'Close': np.float64(2.693445889797613), 'Total': np.float64(15.094110681245091)}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 100, 'learning_rate': 0.001, 'model': 'RNN'}:{'Open': 3.142632161010974, 'High': 10.379179790405011, 'Low': 14.008992012689061, 'Close': 4.603409934002614, 'Total': 15.561983251636722}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 100, 'learning_rate': 0.001, 'model': 'RNN'}:{'Open': 15.649518787326583, 'High': 15.669679459742465, 'Low': 15.68346570136705, 'Close': 15.681656222974858, 'Total': 15.649518787326583}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 100, 'learning_rate': 0.001, 'model': 'RNN'}:{'Open': 15.235351629423793, 'High': 15.254106656061698, 'Low': 15.26084270203224, 'Close': 15.253795079474257, 'Total': 15.235351629423793}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 100, 'learning_rate': 0.001, 'model': 'GRU'}:{'Open': 18.99863408105495, 'High': 19.02231195161941, 'Low': 19.033601843702577, 'Close': 19.02056171785848, 'Total': 18.99863408105495}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'GRU'}:{'Open': 13.825898148664809, 'High': 13.842406263441891, 'Low': 13.845455746623728, 'Close': 13.831371807719798, 'Total': 13.825898148664809}
{'prev_len': 10, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'LSTM'}:{'Open': 20.890893243557333, 'High': 20.48519986770575, 'Low': 20.42459546060134, 'Close': 20.345394080159814, 'Total': 20.890893243557333}
{'prev_len': 10, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'LSTM'}:{'Open': 21.2824714904058, 'High': 20.745881168766374, 'Low': 20.279453268321486, 'Close': 19.854558612467656, 'Total': 21.2824714904058}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'LSTM'}:{'Open': 20.947540104317856, 'High': 20.940391708638142, 'Low': 20.917362484039852, 'Close': 20.89284894477697, 'Total': 20.947540104317856}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'LSTM'}:{'Open': 21.001253297961902, 'High': 21.006227514778196, 'Low': 20.99984327711198, 'Close': 20.971538876198462, 'Total': 21.001253297961902}
{'prev_len': 20, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'LSTM'}:{'Open': 24.681991030784356, 'High': 24.716335684895924, 'Low': 24.75051849923155, 'Close': 24.784953527619983, 'Total': 24.681991030784356}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'RNN'}:{'Open': 10.624202449825981, 'High': 10.637543107213755, 'Low': 10.64801575906483, 'Close': 10.65515529886851, 'Total': 10.624202449825981}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'RNN'}:{'Open': 12.553095072941366, 'High': 14.892724872100167, 'Low': 5.771694052191408, 'Close': nan, 'Total': 12.553095072941366}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'RNN'}:{'Open': 7.321447028938376, 'High': 7.200000098033929, 'Low': 7.352910790756503, 'Close': 7.536186172906333, 'Total': 7.321447028938376}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'LSTM'}:{'Open': 13.293865469928702, 'High': 13.484998244235612, 'Low': 13.718705281182114, 'Close': 14.09874023716212, 'Total': 13.293865469928702}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'GRU'}:{'Open': 13.571947220484178, 'High': 13.57467720797022, 'Low': 13.587276129621598, 'Close': 13.604187162999038, 'Total': 13.571947220484178}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'GRU'}:{'Open': 13.789836615354995, 'High': 13.795108506094556, 'Low': 13.796788354709957, 'Close': 13.801095392525125, 'Total': 13.789836615354995}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'GRU'}:{'Open': 10.152621219650564, 'High': 10.036972410285626, 'Low': 10.119090126312368, 'Close': 10.409118512188277, 'Total': 10.152621219650564}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'GRU'}:{'Open': 10.16925367063615, 'High': 10.443376096395397, 'Low': 10.804806639657393, 'Close': 11.194690473320847, 'Total': 10.16925367063615}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.001, 'model': 'GRU'}:{'Open': 10.16925367063615, 'High': 10.443376096395397, 'Low': 10.804806639657393, 'Close': 11.194690473320847, 'Total': 10.16925367063615}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 100, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 16.218651225069692, 'High': 16.22420751477277, 'Low': 16.23647795350516, 'Close': 16.25699808642312, 'Total': 16.218651225069692}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 16.460278780301778, 'High': 16.473756135138608, 'Low': 16.491792341427107, 'Close': 16.513594326384574, 'Total': 16.460278780301778}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 13.375355671341786, 'High': 13.34569169281993, 'Low': 13.17552786082037, 'Close': 13.361981883502313, 'Total': 13.375355671341786}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 245.67776534191398, 'High': 245.76708244882434, 'Low': 245.85770461629696, 'Close': 245.95079640834757, 'Total': 245.67776534191398}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 245.67776534191398, 'High': 245.76708244882434, 'Low': 245.85770461629696, 'Close': 245.95079640834757, 'Total': 245.67776534191398}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 27.0925762972525, 'High': 27.982872081593808, 'Low': 28.958927611325144, 'Close': 29.634975943734148, 'Total': 27.0925762972525}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 27.0925762972525, 'High': 27.982872081593808, 'Low': 28.958927611325144, 'Close': 29.634975943734148, 'Total': 27.0925762972525}
{'prev_len': 5, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 2, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 27.0925762972525, 'High': 27.982872081593808, 'Low': 28.958927611325144, 'Close': 29.634975943734148, 'Total': 27.0925762972525}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 3, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'LSTM'}:{'Open': 17.177960585484783, 'High': 17.19393382669158, 'Low': 17.21380548973929, 'Close': 17.23664481386505, 'Total': 17.177960585484783}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 3, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'RNN'}:{'Open': 10.566961253849549, 'High': 10.580578134906412, 'Low': 10.591091284707604, 'Close': 10.594603465435886, 'Total': 10.566961253849549}
{'prev_len': 3, 'pred_len': 1, 'batch_size': 32, 'hidden_size': 64, 'num_layers': 3, 'epochs': 1000, 'learning_rate': 0.0001, 'model': 'RNN'}:{'Open': 10.566961253849549, 'High': 10.580578134906412, 'Low': 10.591091284707604, 'Close': 10.594603465435886, 'Total': 10.566961253849549}
